	0
chr14:76417261-76417361	ENSMUSG00000022010
chr14:77840117-77840217	ENSMUSG00000022013
chr14:77156763-77156863	ENSMUSG00000022012
chr14:87505839-87505939	ENSMUSG00000022019
chr14:87505939-87506039	ENSMUSG00000022019
chr14:87506039-87506139	ENSMUSG00000022019
chr14:87506139-87506239	ENSMUSG00000022019
chr14:87506239-87506339	ENSMUSG00000022019
chr11:85345644-85345744	ENSMUSG00000020525
chr11:85345744-85345844	ENSMUSG00000020525
chr11:85345844-85345944	ENSMUSG00000020525
chr11:85345944-85346044	ENSMUSG00000020525
chr11:57483693-57483793	ENSMUSG00000020523
chr11:57784642-57784742	ENSMUSG00000020520
chr11:57785142-57785242	ENSMUSG00000020520
chr1:61785024-61785124	ENSMUSG00000052062
chr1:61785124-61785224	ENSMUSG00000052062
chr1:61785224-61785324	ENSMUSG00000052062
chr1:62344924-62345024	ENSMUSG00000052062
chr1:62345024-62345124	ENSMUSG00000052062
chr1:62637824-62637924	ENSMUSG00000052062
chr1:62637924-62638024	ENSMUSG00000052062
chr1:62639124-62639224	ENSMUSG00000052062
chr1:62639224-62639324	ENSMUSG00000052062
chr11:58346024-58346124	ENSMUSG00000013646
chr7:81213696-81213796	ENSMUSG00000025584
chr7:81333596-81333696	ENSMUSG00000025584
chr7:81333696-81333796	ENSMUSG00000025584
chr4:115041359-115041459	ENSMUSG00000028718
chr4:115068426-115068526	ENSMUSG00000028717
chr4:115068726-115068826	ENSMUSG00000028717
chrX:71480960-71481060	ENSMUSG00000035776
chr12:84043479-84043579	ENSMUSG00000052392
chr5:53903406-53903506	ENSMUSG00000039178
chr19:58797551-58797651	ENSMUSG00000025092
chr19:58799251-58799351	ENSMUSG00000025092
chr19:58799351-58799451	ENSMUSG00000025092
chr10:84613526-84613626	ENSMUSG00000020034
chr10:108332721-108332821	ENSMUSG00000035873
chr10:108332921-108333021	ENSMUSG00000035873
chr10:108333021-108333121	ENSMUSG00000035873
chr10:108382721-108382821	ENSMUSG00000035873
chr2:160769508-160769608	ENSMUSG00000035877
chr2:160771108-160771208	ENSMUSG00000035877
chr2:160771208-160771308	ENSMUSG00000035877
chr2:160771308-160771408	ENSMUSG00000035877
chr2:160771408-160771508	ENSMUSG00000035877
chr2:160779808-160779908	ENSMUSG00000035877
chr2:160779908-160780008	ENSMUSG00000035877
chr2:160780508-160780608	ENSMUSG00000035877
chr2:160780608-160780708	ENSMUSG00000035877
chr2:160781708-160781808	ENSMUSG00000035877
chr2:160781908-160782008	ENSMUSG00000035877
chr2:160782108-160782208	ENSMUSG00000035877
chr2:35085146-35085246	ENSMUSG00000035875
chr9:57127250-57127350	ENSMUSG00000086728
chr9:57127550-57127650	ENSMUSG00000086728
chr16:34879010-34879110	ENSMUSG00000022836
chr16:34879110-34879210	ENSMUSG00000022836
chr16:34922310-34922410	ENSMUSG00000022836
chr16:34922410-34922510	ENSMUSG00000022836
chr16:34938910-34939010	ENSMUSG00000022836
chr16:34940910-34941010	ENSMUSG00000022836
chr16:34723316-34723416	ENSMUSG00000022833
chr2:29777624-29777724	ENSMUSG00000039826
chr7:144939731-144939831	ENSMUSG00000070348
chr10:63023164-63023264	ENSMUSG00000020069
chr12:27341364-27341464	ENSMUSG00000063632
chr12:27341664-27341764	ENSMUSG00000063632
chr12:27342064-27342164	ENSMUSG00000063632
chr10:63245810-63245910	ENSMUSG00000020064
chr10:63245910-63246010	ENSMUSG00000020064
chr19:28262651-28262751	ENSMUSG00000052942
chr19:28262751-28262851	ENSMUSG00000052942
chr19:28262851-28262951	ENSMUSG00000052942
chr19:28531051-28531151	ENSMUSG00000052942
chr19:28531151-28531251	ENSMUSG00000052942
chr19:28531251-28531351	ENSMUSG00000052942
chr19:28531351-28531451	ENSMUSG00000052942
chr19:28531451-28531551	ENSMUSG00000052942
chr19:28531551-28531651	ENSMUSG00000052942
chr19:28531751-28531851	ENSMUSG00000052942
chr19:28531851-28531951	ENSMUSG00000052942
chr19:28665851-28665951	ENSMUSG00000052942
chr7:119477111-119477211	ENSMUSG00000030963
chr7:119477211-119477311	ENSMUSG00000030963
chr7:132827757-132827857	ENSMUSG00000030960
chr7:132949742-132949842	ENSMUSG00000030967
chr7:132949842-132949942	ENSMUSG00000030967
chr7:132949942-132950042	ENSMUSG00000030967
chr7:132950042-132950142	ENSMUSG00000030967
chr7:132950242-132950342	ENSMUSG00000030967
chr7:132883225-132883325	ENSMUSG00000030965
chr7:132883325-132883425	ENSMUSG00000030965
chr11:116338353-116338453	ENSMUSG00000052949
chr11:116389853-116389953	ENSMUSG00000052949
chr11:116412853-116412953	ENSMUSG00000052949
chr1:155558420-155558520	ENSMUSG00000033701
chr1:155558520-155558620	ENSMUSG00000033701
chr1:155558620-155558720	ENSMUSG00000033701
chr2:120696526-120696626	ENSMUSG00000033705
chr2:120702426-120702526	ENSMUSG00000033705
chr1:191621136-191621236	ENSMUSG00000037461
chr1:191621236-191621336	ENSMUSG00000037461
chr8:83165952-83166052	ENSMUSG00000031709
chr8:83271052-83271152	ENSMUSG00000031709
chr8:83271152-83271252	ENSMUSG00000031709
chr8:83271252-83271352	ENSMUSG00000031709
chr8:83571798-83571898	ENSMUSG00000031708
chr8:85539233-85539333	ENSMUSG00000031701
chr8:85525576-85525676	ENSMUSG00000031700
chr8:85719778-85719878	ENSMUSG00000031703
chr8:85720078-85720178	ENSMUSG00000031703
chr8:85754978-85755078	ENSMUSG00000031703
chr1:172066513-172066613	ENSMUSG00000003458
chr1:172066613-172066713	ENSMUSG00000003458
chr1:172066713-172066813	ENSMUSG00000003458
chr1:58752408-58752508	ENSMUSG00000026031
chr1:58752508-58752608	ENSMUSG00000026031
chr1:58752608-58752708	ENSMUSG00000026031
chr1:58463771-58463871	ENSMUSG00000026037
chr1:58504571-58504671	ENSMUSG00000026037
chr1:58423989-58424089	ENSMUSG00000026034
chr18:6787705-6787805	ENSMUSG00000073639
chr13:93715482-93715582	ENSMUSG00000087334
chr6:71978453-71978553	ENSMUSG00000049553
chr5:123630695-123630795	ENSMUSG00000049550
chr7:127602567-127602667	ENSMUSG00000030816
chr7:35638244-35638344	ENSMUSG00000034867
chr7:35638444-35638544	ENSMUSG00000034867
chr5:52376251-52376351	ENSMUSG00000045790
chr5:52376351-52376451	ENSMUSG00000045790
chr5:52376451-52376551	ENSMUSG00000045790
chr15:98849969-98850069	ENSMUSG00000048154
chr15:98863569-98863669	ENSMUSG00000048154
chr15:98863669-98863769	ENSMUSG00000048154
chr18:62514969-62515069	ENSMUSG00000042211
chr18:62515069-62515169	ENSMUSG00000042211
chr18:62515169-62515269	ENSMUSG00000042211
chr18:62515269-62515369	ENSMUSG00000042211
chr6:116314022-116314122	ENSMUSG00000042213
chr1:33746384-33746484	ENSMUSG00000042215
chr1:33746684-33746784	ENSMUSG00000042215
chr17:33760392-33760492	ENSMUSG00000090952
chr8:72495461-72495561	ENSMUSG00000045248
chr8:72495561-72495661	ENSMUSG00000045248
chr8:72495861-72495961	ENSMUSG00000045248
chr8:72495961-72496061	ENSMUSG00000045248
chr8:72496061-72496161	ENSMUSG00000045248
chr8:72496161-72496261	ENSMUSG00000045248
chr8:72496261-72496361	ENSMUSG00000045248
chr8:72496361-72496461	ENSMUSG00000045248
chr8:72496461-72496561	ENSMUSG00000045248
chr7:132558178-132558278	ENSMUSG00000030934
chr9:88456309-88456409	ENSMUSG00000032423
chr9:88482509-88482609	ENSMUSG00000032423
chr15:82999321-82999421	ENSMUSG00000058099
chr6:143833125-143833225	ENSMUSG00000041540
chr6:143833225-143833325	ENSMUSG00000041540
chr6:143833325-143833425	ENSMUSG00000041540
chr6:143833425-143833525	ENSMUSG00000041540
chr6:144309825-144309925	ENSMUSG00000041540
chr6:144321325-144321425	ENSMUSG00000041540
chr6:144321425-144321525	ENSMUSG00000041540
chr6:144321525-144321625	ENSMUSG00000041540
chr6:144321625-144321725	ENSMUSG00000041540
chr6:144404225-144404325	ENSMUSG00000041540
chr5:100078772-100078872	ENSMUSG00000050640
chr5:100078972-100079072	ENSMUSG00000050640
chr5:100079072-100079172	ENSMUSG00000050640
chr5:100079172-100079272	ENSMUSG00000050640
chr5:100079272-100079372	ENSMUSG00000050640
chr5:100079772-100079872	ENSMUSG00000050640
chr18:56957733-56957833	ENSMUSG00000024592
chr9:50635733-50635833	ENSMUSG00000000168
chr18:57389233-57389333	ENSMUSG00000024594
chr13:44922279-44922379	ENSMUSG00000057531
chr13:44922379-44922479	ENSMUSG00000057531
chr9:57540928-57541028	ENSMUSG00000032305
chr18:65981054-65981154	ENSMUSG00000041891
chr18:66002454-66002554	ENSMUSG00000041891
chr1:105284114-105284214	ENSMUSG00000047496
chr15:11310690-11310790	ENSMUSG00000047497
chr15:11310990-11311090	ENSMUSG00000047497
chr15:11311090-11311190	ENSMUSG00000047497
chr15:11311190-11311290	ENSMUSG00000047497
chrX:68710741-68710841	ENSMUSG00000000838
chr4:86342972-86343072	ENSMUSG00000066113
chr2:30284443-30284543	ENSMUSG00000098794
chr2:30284743-30284843	ENSMUSG00000098794
chr14:32176465-32176565	ENSMUSG00000056234
chr5:53277883-53277983	ENSMUSG00000061461
chr5:53277983-53278083	ENSMUSG00000061461
chr1:131097600-131097700	ENSMUSG00000016528
chr5:147018355-147018455	ENSMUSG00000016520
chr5:147018455-147018555	ENSMUSG00000016520
chr5:147018555-147018655	ENSMUSG00000016520
chr13:28555734-28555834	ENSMUSG00000085936
chr13:28885534-28885634	ENSMUSG00000085936
chr12:103628286-103628386	ENSMUSG00000061947
chr12:103628386-103628486	ENSMUSG00000061947
chr12:103628486-103628586	ENSMUSG00000061947
chrX:152368498-152368598	ENSMUSG00000056679
chr2:30262167-30262267	ENSMUSG00000099041
chr15:99126678-99126778	ENSMUSG00000051934
chr15:99210878-99210978	ENSMUSG00000051934
chr15:99210978-99211078	ENSMUSG00000051934
chr15:99212078-99212178	ENSMUSG00000051934
chr15:99212178-99212278	ENSMUSG00000051934
chr11:108531397-108531497	ENSMUSG00000086761
chr12:8284307-8284407	ENSMUSG00000037669
chr1:194960059-194960159	ENSMUSG00000097325
chr3:30896650-30896750	ENSMUSG00000037661
chr16:10741939-10742039	ENSMUSG00000068663
chr2:30031746-30031846	ENSMUSG00000039715
chr14:20141658-20141758	ENSMUSG00000023243
chr14:20141958-20142058	ENSMUSG00000023243
chr14:20142058-20142158	ENSMUSG00000023243
chr6:137478945-137479045	ENSMUSG00000015766
chr6:137479045-137479145	ENSMUSG00000015766
chr8:23132144-23132244	ENSMUSG00000031543
chr8:23132244-23132344	ENSMUSG00000031543
chr8:23149444-23149544	ENSMUSG00000031543
chr6:115618867-115618967	ENSMUSG00000000441
chr6:115618967-115619067	ENSMUSG00000000441
chr6:115619067-115619167	ENSMUSG00000000441
chr6:115619167-115619267	ENSMUSG00000000441
chr6:115619267-115619367	ENSMUSG00000000441
chr8:23191165-23191265	ENSMUSG00000031545
chr8:23191365-23191465	ENSMUSG00000031545
chr8:23446402-23446502	ENSMUSG00000031548
chr8:23446602-23446702	ENSMUSG00000031548
chr8:23446702-23446802	ENSMUSG00000031548
chr1:55131231-55131331	ENSMUSG00000025979
chr13:32802338-32802438	ENSMUSG00000021400
chr15:12833815-12833915	ENSMUSG00000022191
chr15:12833915-12834015	ENSMUSG00000022191
chr15:12834015-12834115	ENSMUSG00000022191
chr6:21973571-21973671	ENSMUSG00000029670
chr6:21973671-21973771	ENSMUSG00000029670
chr5:131439433-131439533	ENSMUSG00000029673
chr5:131439533-131439633	ENSMUSG00000029673
chr5:131439633-131439733	ENSMUSG00000029673
chr5:131439733-131439833	ENSMUSG00000029673
chr5:131439833-131439933	ENSMUSG00000029673
chr5:131439933-131440033	ENSMUSG00000029673
chr5:131440033-131440133	ENSMUSG00000029673
chr5:131440133-131440233	ENSMUSG00000029673
chr5:131440233-131440333	ENSMUSG00000029673
chr5:131440333-131440433	ENSMUSG00000029673
chr5:131440433-131440533	ENSMUSG00000029673
chr5:131440533-131440633	ENSMUSG00000029673
chr5:131474933-131475033	ENSMUSG00000029673
chr5:131476733-131476833	ENSMUSG00000029673
chr5:131476933-131477033	ENSMUSG00000029673
chr5:131537833-131537933	ENSMUSG00000029673
chr5:131537933-131538033	ENSMUSG00000029673
chr5:132163633-132163733	ENSMUSG00000029673
chr5:132541633-132541733	ENSMUSG00000029673
chr5:132541733-132541833	ENSMUSG00000029673
chr5:132541833-132541933	ENSMUSG00000029673
chr5:132542133-132542233	ENSMUSG00000029673
chr5:132542833-132542933	ENSMUSG00000029673
chr5:132542933-132543033	ENSMUSG00000029673
chr5:132543133-132543233	ENSMUSG00000029673
chr5:132543233-132543333	ENSMUSG00000029673
chr9:122136966-122137066	ENSMUSG00000038145
chr9:122137066-122137166	ENSMUSG00000038145
chr9:122137166-122137266	ENSMUSG00000038145
chr9:122137266-122137366	ENSMUSG00000038145
chr9:122166666-122166766	ENSMUSG00000038145
chr9:122166766-122166866	ENSMUSG00000038145
chr9:122166866-122166966	ENSMUSG00000038145
chr9:122166966-122167066	ENSMUSG00000038145
chr9:122167366-122167466	ENSMUSG00000038145
chr17:32121920-32122020	ENSMUSG00000038146
chr17:32159320-32159420	ENSMUSG00000038146
chr17:32159420-32159520	ENSMUSG00000038146
chr8:47191948-47192048	ENSMUSG00000038143
chr8:47192048-47192148	ENSMUSG00000038143
chr8:47192148-47192248	ENSMUSG00000038143
chr8:47192348-47192448	ENSMUSG00000038143
chr8:47192448-47192548	ENSMUSG00000038143
chr8:47192548-47192648	ENSMUSG00000038143
chr8:47192648-47192748	ENSMUSG00000038143
chr8:47192848-47192948	ENSMUSG00000038143
chr8:47193748-47193848	ENSMUSG00000038143
chr8:47193848-47193948	ENSMUSG00000038143
chr8:47288148-47288248	ENSMUSG00000038143
chr8:47288248-47288348	ENSMUSG00000038143
chr3:95763741-95763841	ENSMUSG00000028106
chr3:95764041-95764141	ENSMUSG00000028106
chr3:95764741-95764841	ENSMUSG00000028106
chr3:95764841-95764941	ENSMUSG00000028106
chr3:95765141-95765241	ENSMUSG00000028106
chr7:119610981-119611081	ENSMUSG00000109093
chr7:70331568-70331668	ENSMUSG00000109097
chr9:61924005-61924105	ENSMUSG00000032254
chr13:119469559-119469659	ENSMUSG00000062822
chr13:119469659-119469759	ENSMUSG00000062822
chr13:119469759-119469859	ENSMUSG00000062822
chrX:94078854-94078954	ENSMUSG00000087640
chrX:94078954-94079054	ENSMUSG00000087640
chrX:94079154-94079254	ENSMUSG00000087640
chrX:94079454-94079554	ENSMUSG00000087640
chr8:129218054-129218154	ENSMUSG00000071302
chr18:60475393-60475493	ENSMUSG00000038059
chr10:29347266-29347366	ENSMUSG00000019883
chr19:7456701-7456801	ENSMUSG00000024758
chr19:7532040-7532140	ENSMUSG00000024759
chr19:7532140-7532240	ENSMUSG00000024759
chr19:7534040-7534140	ENSMUSG00000024759
chr19:7534140-7534240	ENSMUSG00000024759
chr19:7534540-7534640	ENSMUSG00000024759
chr9:118897775-118897875	ENSMUSG00000086119
chr19:7097068-7097168	ENSMUSG00000036278
chr16:91403783-91403883	ENSMUSG00000022971
chr16:91403983-91404083	ENSMUSG00000022971
chr16:91404083-91404183	ENSMUSG00000022971
chr16:91404383-91404483	ENSMUSG00000022971
chr17:24681252-24681352	ENSMUSG00000041130
chr2:92614007-92614107	ENSMUSG00000027221
chr2:122234849-122234949	ENSMUSG00000027227
chr16:85457233-85457333	ENSMUSG00000041134
chr16:85457433-85457533	ENSMUSG00000041134
chr4:129182105-129182205	ENSMUSG00000040928
chr4:129182205-129182305	ENSMUSG00000040928
chr4:129182305-129182405	ENSMUSG00000040928
chr6:86760640-86760740	ENSMUSG00000029994
chr6:86272123-86272223	ENSMUSG00000029999
chr6:86388706-86388806	ENSMUSG00000029998
chr15:42426627-42426727	ENSMUSG00000022309
chr15:42426727-42426827	ENSMUSG00000022309
chr15:42426827-42426927	ENSMUSG00000022309
chr15:42676427-42676527	ENSMUSG00000022309
chr15:39872203-39872303	ENSMUSG00000022305
chr15:39872303-39872403	ENSMUSG00000022305
chr15:39872603-39872703	ENSMUSG00000022305
chr15:39872703-39872803	ENSMUSG00000022305
