Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of adherens junction organization (GO:1903391)	5/19	0.0004000451879656528853500263576137285781442187726497650146484375	0.022220815216976996797626497937017120420932769775390625	0.00178677990719996689951420965059014633879996836185455322265625	0.111285313785389250451629550298093818128108978271484375	-1.9682045488662985	15.399100613766056	MACF1;ROCK2;EFNA5;CLASP1;PTK2
endothelial cell development (GO:0001885)	5/20	0.000518126168658124730721781237008372045238502323627471923828125	0.0265077048786701297000689692140440456569194793701171875	0.0021648239849420204856944582871847160276956856250762939453125	0.12286797668300093733240174742604722268879413604736328125	-2.015742593360808	15.249680865143267	RAP1A;PDE4D;RAPGEF1;RAPGEF2;RAPGEF3
protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:0042787)	12/71	0.0000059303700830823248338059643092190498236959683708846569061279296875	0.00121360787771648999389118017688815598376095294952392578125	0.00006431394007767898303440379237372326315380632877349853515625	0.016750858029322752973389043518182006664574146270751953125	-1.2655708093504923	15.231681214455126	CUL4A;ABTB1;ITCH;ANKIB1;RMND5A;HECW2;BTBD3;NEDD4;TRIP12;FBXO45;BTBD9;RBX1
protein K63-linked ubiquitination (GO:0070534)	8/38	0.0000416988882826947545212799284275462241566856391727924346923828125	0.00459320751898224799436576404332299716770648956298828125	0.00029420023961070095909475785589393126429058611392974853515625	0.0366471168036807959378364785152371041476726531982421875	-1.4912403298259684	15.039212544267103	ITCH;HECTD1;TRAF6;NEDD4;UBE2O;ZFP91;RNF4;TRIM56
regulation of myeloid cell differentiation (GO:0045637)	11/66	0.00001659672435782842702702011283832916888059116899967193603515625	0.002377480764258922164844367586056250729598104953765869140625	0.00014399459397184015472907769872534800015273503959178924560546875	0.029344915636905118117017110535016399808228015899658203125	-1.3654607451391843	15.02867771316001	TNRC6C;KMT2E;KAT2B;KMT2D;CREBBP;MEIS1;KMT2C;ASH2L;MEIS2;CDC73;TNRC6B
regulation of cardiac muscle cell contraction (GO:0086004)	6/27	0.0002837803055079760375899178281855483874096535146236419677734375	0.018067346117341141764622847176724462769925594329833984375	0.00132796226128514653630485753410539473406970500946044921875	0.097163524157233893685514658500324003398418426513671875	-1.8322408789688343	14.964479603754205	CAMK2D;DLG1;PDE4D;PKP2;ANK2;CACNA1C
negative regulation of transcription, DNA-templated (GO:0045892)	49/814	0.00016422407906038058900306808585156659319181926548480987548828125	0.01271626990562136315376928763498654006980359554290771484375	0.002951925720243016477983832857034940388984978199005126953125	0.1405486033934112699572693827576586045324802398681640625	-1.7060261282421127	14.866787197035034	CHD8;OTUD7B;CDC73;YY1;DACH1;TRPS1;ZHX3;ZBTB38;MITF;PEX2;FOXP1;NCOR2;ZEB2;NCOR1;ZEB1;MDFIC;TFDP2;TRAF6;KAT6A;RARB;ZFPM2;PPARD;HDAC4;NOTCH1;CTBP2;SATB1;PBXIP1;RTF1;PHF21A;CUX1;DEAF1;ORC2;HIVEP1;TBL1X;FNIP1;FNIP2;ATF7IP;KDM4A;CREBBP;POU2F1;USP9X;PHF12;FOXN3;MEIS2;DLG1;CNOT7;NFIA;NFIC;CNOT2
Ras protein signal transduction (GO:0007265)	22/224	0.00001365555349028830102280085423416267076390795409679412841796875	0.00205911372366715701709427577270616893656551837921142578125	0.000171971825467250797984941623752774830791167914867401123046875	0.029344915636905118117017110535016399808228015899658203125	-1.3149840481337751	14.729615332344327	NCKAP1;RHOF;USP28;GNA13;RAB10;RAB20;RAP1A;ABI2;RAB14;G3BP1;RAPGEF1;NF1;ELMO1;ARHGEF3;RAB18;RAPGEF2;PLCE1;KRAS;SOS1;PAK2;RAPGEF3;RHOQ
positive regulation of mitochondrial fission (GO:0090141)	4/15	0.001491756310802638298140809780534254969097673892974853515625	0.052120510127433648805972410400499938987195491790771484375	0.00500813502170123492351905269970302470028400421142578125	0.193896038340189702520177661426714621484279632568359375	-2.261721182104989	14.71883164452229	BNIP3;KDR;VPS35;MFF
ribosomal small subunit export from nucleus (GO:0000056)	2/7	0.022852663229190224580822388134038192220032215118408203125	0.217518625649609942396267570074996910989284515380859375	0.043183562768663912023736628498227219097316265106201171875	0.41868165981093508065669084317050874233245849609375	-3.888232743020265	14.692416913141612	XPO1;NUP88
protein polyubiquitination (GO:0000209)	24/284	0.00006672825865049205836844470329793921337113715708255767822265625	0.006827730751202133220589818307644236483611166477203369140625	0.000685755359496357185487835916859467033646069467067718505859375	0.0675433619186537603784614702817634679377079010009765625	-1.5272282723088833	14.684119666306405	ANKIB1;PSMD11;FBXW7;ZFP91;UBR2;UBE2A;MARCH6;UBE2J2;RNF4;FBXO11;RBX1;ITCH;HECTD1;TNKS2;HECW2;TRAF6;NEDD4;MKRN1;ANAPC4;UBE2O;TRIP12;ANAPC1;SASH1;TRIM56
small GTPase mediated signal transduction (GO:0007264)	12/100	0.0001932035795607451255338771201053305048844777047634124755859375	0.0138382063860383701381362442361933062784373760223388671875	0.00108653452945573652556332522323145894915796816349029541015625	0.0819189849181759244256539886919199489057064056396484375	-1.7082137089183356	14.608244102191435	ARHGAP32;G3BP1;NF1;RAB18;RAPGEF2;PLCE1;KRAS;USP28;RAPGEF5;SOS1;RERG;RASGRP3
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	4/12	0.000588257541760660979633656975096300811856053769588470458984375	0.028089297619071564027226628468270064331591129302978515625	0.0025732716337872481825177484182631815201602876186370849609375	0.1319283860359440063714231428093626163899898529052734375	-1.9619075687256595	14.593346746788699	TNRC6C;CNOT7;AGO2;TNRC6B
protein heterooligomerization (GO:0051291)	8/50	0.0003162928406086330215991886394277798899565823376178741455078125	0.0192804040073134806687615849796202383004128932952880859375	0.00145228283441722742265478363066222300403751432895660400390625	0.097163524157233893685514658500324003398418426513671875	-1.8067276719442629	14.560132958548023	SEPT7;CPSF6;MAT2A;INSR;TRPS1;MCCC1;RCC1;FARSB
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	26/292	0.000013619640954261164102483301630019951744543504901230335235595703125	0.00205911372366715701709427577270616893656551837921142578125	0.000197290991859037424284439854460515562095679342746734619140625	0.03132453051442370128842895837806281633675098419189453125	-1.294685349540575	14.505651573924263	PSMD11;FAF2;UBR3;DERL2;FBXO45;UBR2;UBE2J2;RNF4;RMND5A;BTBD3;TBL1X;CRBN;FBXW7;CSNK1A1;UBE2A;MARCH6;BTBD9;RBX1;CUL4A;ABTB1;ITCH;HECW2;NEDD4;ANAPC4;ANAPC1;RNF121
establishment of endothelial barrier (GO:0061028)	5/22	0.000830459670275664261877845984116675026598386466503143310546875	0.0361850221226038826216608867980539798736572265625	0.003090597561530510073435351614534738473594188690185546875	0.1405486033934112699572693827576586045324802398681640625	-2.0074614907392894	14.239990699021263	RAP1A;PDE4D;RAPGEF1;RAPGEF2;RAPGEF3
positive regulation of vasculogenesis (GO:2001214)	3/9	0.003061744569803862871248956167846699827350676059722900390625	0.07597902121195609925763392311637289822101593017578125	0.00919905293672417488648473948842365643940865993499755859375	0.2417916207680253226630640028815832920372486114501953125	-2.437145734055086	14.108077097053865	RAP1A;KDR;RAPGEF2
regulation of axon extension involved in axon guidance (GO:0048841)	5/24	0.00126499236849614824819421077251035967492498457431793212890625	0.048975718050560335115051202592439949512481689453125	0.004272089742721541134884422064033060451038181781768798828125	0.1773845958390900812151613763489876873791217803955078125	-2.107813581450587	14.064784898701088	NRP1;SEMA7A;PLXNA2;MEGF8;PLXNA4
vacuolar proton-transporting V-type ATPase complex assembly (GO:0070072)	3/10	0.004260799451071915940059131600037289899773895740509033203125	0.0910984360247838742541404144503758288919925689697265625	0.01162677842393553505340175746596287353895604610443115234375	0.2566720288902615276782626096974126994609832763671875	-2.5240966440784045	13.777272854889087	DMXL1;DMXL2;TM9SF4
positive regulation of axon guidance (GO:1902669)	2/7	0.022852663229190224580822388134038192220032215118408203125	0.217518625649609942396267570074996910989284515380859375	0.043183562768663912023736628498227219097316265106201171875	0.41868165981093508065669084317050874233245849609375	-3.5569387682670595	13.440560473574426	NRP1;MEGF8
