Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of glial cell differentiation (GO:0045687)	2/11	0.006877842101798525668854278336539209703914821147918701171875	0.1999968595483767319631596137696760706603527069091796875	0.01087816745943714739908170230364703456871211528778076171875	0.323747336817359288030360175980604253709316253662109375	-2.6778101258689846	13.334022499482295	NOTCH1;TENM4
regulation of morphogenesis of an epithelium (GO:1905330)	2/10	0.0056704784283348498574728324683746905066072940826416015625	0.1942513991197963585388919227625592611730098724365234375	0.00927964042975791374157079616225018980912864208221435546875	0.3127660626666133314444095958606339991092681884765625	-2.504431300607573	12.954125286448399	ADAMTS12;FGFR2
organic cation transport (GO:0015695)	3/25	0.0029348729644350971500210700781963168992660939693450927734375	0.1883081734722411304527867059732670895755290985107421875	0.004874798900703779420962025170638298732228577136993408203125	0.312477652737987721121015738390269689261913299560546875	-2.205867816335215	12.862616212840518	SLC22A13;SLC22A5;SLC25A19
digestive system development (GO:0055123)	3/23	0.0022987281222250897406989000870680683874525129795074462890625	0.1883081734722411304527867059732670895755290985107421875	0.003939584829999713370962677316811095806770026683807373046875	0.312477652737987721121015738390269689261913299560546875	-2.05652616580504	12.494217626805286	CLMP;COBL;FGFR2
positive regulation of non-canonical Wnt signaling pathway (GO:2000052)	2/9	0.004571203132164990134977955449357978068292140960693359375	0.1883081734722411304527867059732670895755290985107421875	0.007796138335337522706769419755801209248602390289306640625	0.312477652737987721121015738390269689261913299560546875	-2.274515547746925	12.255041645451593	DAB2;MLLT3
cyclic nucleotide catabolic process (GO:0009214)	2/10	0.0056704784283348498574728324683746905066072940826416015625	0.1942513991197963585388919227625592611730098724365234375	0.00927964042975791374157079616225018980912864208221435546875	0.3127660626666133314444095958606339991092681884765625	-2.301399892382328	11.903949025436242	PDE3A;PDE5A
regulation of cell migration (GO:0030334)	13/317	0.0000901414910505777123954362917146454492467455565929412841796875	0.03341995780700168783283743323408998548984527587890625	0.0002412602215685335171023451206195886697969399392604827880859375	0.089447227146533803132655293666175566613674163818359375	-1.2704402980948817	11.833046092857462	NOTCH1;PRR5L;RHOBTB1;EGFR;ROBO1;TIAM1;DAB2;NAV3;DLC1;AMOTL1;ROR2;ARID2;RECK
lysine catabolic process (GO:0006554)	2/13	0.0096063464159560074673294138847268186509609222412109375	0.2140191107336584241949140050564892590045928955078125	0.014408175475351121808120780087847379036247730255126953125	0.323747336817359288030360175980604253709316253662109375	-2.4682586212590047	11.46587906422043	OGDH;AASS
digestive tract development (GO:0048565)	4/44	0.00166466533828427847886699542101496263057924807071685791015625	0.1883081734722411304527867059732670895755290985107421875	0.0028958963799145657526390440494878930621780455112457275390625	0.312477652737987721121015738390269689261913299560546875	-1.7645735674284044	11.289973150191862	CLMP;COBL;FGFR2;GLI3
cardiac muscle cell action potential (GO:0086001)	3/30	0.004964845445034893334224079808336682617664337158203125	0.1942513991197963585388919227625592611730098724365234375	0.007760115341654875986687756039827945642173290252685546875	0.312477652737987721121015738390269689261913299560546875	-2.108608634774338	11.186955552269115	CACNA1D;SLC8A1;CACNA1G
phosphate ion transport (GO:0006817)	2/14	0.01112235750653462439119234517193035571835935115814208984375	0.228058375186810102785983644935186021029949188232421875	0.0163337377128153042604719047403705189935863018035888671875	0.34116807081838163018261411707499064505100250244140625	-2.4734318408201577	11.127470235057618	SLC34A1;SLC17A1
nucleotide-sugar metabolic process (GO:0009225)	2/14	0.01112235750653462439119234517193035571835935115814208984375	0.228058375186810102785983644935186021029949188232421875	0.0163337377128153042604719047403705189935863018035888671875	0.34116807081838163018261411707499064505100250244140625	-2.4688978162913315	11.10707257454525	CSGALNACT1;FUT8
lysine metabolic process (GO:0006553)	2/13	0.0096063464159560074673294138847268186509609222412109375	0.2140191107336584241949140050564892590045928955078125	0.014408175475351121808120780087847379036247730255126953125	0.323747336817359288030360175980604253709316253662109375	-2.3843631126259544	11.076156630868955	OGDH;AASS
negative regulation of myoblast differentiation (GO:0045662)	2/13	0.0096063464159560074673294138847268186509609222412109375	0.2140191107336584241949140050564892590045928955078125	0.014408175475351121808120780087847379036247730255126953125	0.323747336817359288030360175980604253709316253662109375	-2.3386019073932354	10.863580671238074	NOTCH1;PRICKLE1
purine-containing compound metabolic process (GO:0072521)	2/18	0.01814036267896342036198831237925332970917224884033203125	0.28927051454734142854618994533666409552097320556640625	0.02503989016099521236480285324432770721614360809326171875	0.40363214248647716342333069405867718160152435302734375	-2.7056981799925093	10.848810283915684	MACROD2;SLC17A1
epithelial tube formation (GO:0072175)	2/7	0.0027076867301457051284696575521593331359326839447021484375	0.1883081734722411304527867059732670895755290985107421875	0.00518667775577296395750348523279171786271035671234130859375	0.312477652737987721121015738390269689261913299560546875	-1.8166537614623945	10.739440490423716	FGFR2;PAX2
extracellular matrix organization (GO:0030198)	9/230	0.001509428869158140583406346735273473314009606838226318359375	0.1883081734722411304527867059732670895755290985107421875	0.0029682129388043632621518863601295379339717328548431396484375	0.312477652737987721121015738390269689261913299560546875	-1.633018726723572	10.608128730280187	CSGALNACT1;SCUBE3;FLRT2;COL4A4;COL5A2;PXDN;RECK;HSPG2;NID2
sodium-independent organic anion transport (GO:0043252)	4/38	0.00095564004362028100343640080183149621007032692432403564453125	0.1883081734722411304527867059732670895755290985107421875	0.0017645219805854108451048656291959559894166886806488037109375	0.312477652737987721121015738390269689261913299560546875	-1.5154442657735858	10.537079834766724	SLC22A23;SLC22A13;SLC22A5;SLCO3A1
regulation of cellular response to growth factor stimulus (GO:0090287)	2/19	0.0201214091961392886609427677058192784897983074188232421875	0.300186522848598202894976338939159177243709564208984375	0.0274536914533240021529802987743096309714019298553466796875	0.41973014871422165139591697879950515925884246826171875	-2.682614304475774	10.47821340017565	PCSK6;FGFR2
SA node cell action potential (GO:0086015)	2/8	0.0035826965925359771127090002806880875141359865665435791015625	0.1883081734722411304527867059732670895755290985107421875	0.00643076363885569136924491573381601483561098575592041015625	0.312477652737987721121015738390269689261913299560546875	-1.8321214252870857	10.317847431363507	CACNA1D;CACNA1G
calcium-mediated signaling (GO:0019722)	4/71	0.00934803425947326564748873778398774447850883007049560546875	0.2140191107336584241949140050564892590045928955078125	0.013986213895274553220549051957277697511017322540283203125	0.323747336817359288030360175980604253709316253662109375	-2.204394776028403	10.300231217305107	PTGFR;PPP1R9A;EGFR;SLC8A1
pyrimidine-containing compound metabolic process (GO:0072527)	2/16	0.014445409914038455367890634306604624725878238677978515625	0.264475838302704102655837914426228962838649749755859375	0.0204915970951498778440669212841385160572826862335205078125	0.394662837559834667189306856016628444194793701171875	-2.396669655134418	10.155596630988052	SLC25A19;ERH
regulation of glial cell differentiation (GO:0045685)	1/7	0.0784396009109704916983929479101789183914661407470703125	0.3676352883258704462576815785723738372325897216796875	0.0949144521828639009530803605230175890028476715087890625	0.431111529322206032954767351839109323918819427490234375	-3.813149495534705	9.706091261498083	TNFRSF21
2-oxoglutarate metabolic process (GO:0006103)	2/18	0.01814036267896342036198831237925332970917224884033203125	0.28927051454734142854618994533666409552097320556640625	0.02503989016099521236480285324432770721614360809326171875	0.40363214248647716342333069405867718160152435302734375	-2.364197474697772	9.479523646196077	GHR;OGDH
protein localization to microtubule organizing center (GO:1905508)	2/17	0.0162475877851934354112461988961513270623981952667236328125	0.283472619828727789847988560723024420440196990966796875	0.0227183039487674660883431698721324210055172443389892578125	0.40108624709550178000228015662287361919879913330078125	-2.282972522415145	9.405414911510624	CCDC14;CEP192
anion transport (GO:0006820)	4/57	0.004308429919198059586393778630508677451871335506439208984375	0.1883081734722411304527867059732670895755290985107421875	0.006859384003011215029388392139253483037464320659637451171875	0.312477652737987721121015738390269689261913299560546875	-1.7167507713201449	9.351453434995511	SLC22A23;SLC22A13;SLC22A5;SLC17A1
positive regulation of cardiac muscle cell proliferation (GO:0060045)	2/14	0.01112235750653462439119234517193035571835935115814208984375	0.228058375186810102785983644935186021029949188232421875	0.0163337377128153042604719047403705189935863018035888671875	0.34116807081838163018261411707499064505100250244140625	-2.068321028023926	9.304958517979003	NOTCH1;FGFR2
endocytosis (GO:0006897)	9/264	0.003806795820329742473242529143817591830156743526458740234375	0.1883081734722411304527867059732670895755290985107421875	0.00701971727747855399337506554502397193573415279388427734375	0.312477652737987721121015738390269689261913299560546875	-1.6660583109597726	9.281556596359502	COLEC12;CUBN;DLC1;DNAJC13;AMPH;LRP2;HSPG2;STEAP2;ATP9A
positive regulation of cardiac muscle tissue growth (GO:0055023)	2/17	0.0162475877851934354112461988961513270623981952667236328125	0.283472619828727789847988560723024420440196990966796875	0.0227183039487674660883431698721324210055172443389892578125	0.40108624709550178000228015662287361919879913330078125	-2.245798080335007	9.252263242607603	NOTCH1;FGFR2
positive regulation of morphogenesis of an epithelium (GO:1905332)	2/19	0.0201214091961392886609427677058192784897983074188232421875	0.300186522848598202894976338939159177243709564208984375	0.0274536914533240021529802987743096309714019298553466796875	0.41973014871422165139591697879950515925884246826171875	-2.349298809998964	9.176292779352156	MTOR;PAX2
positive regulation of catabolic process (GO:0009896)	4/63	0.006156315413776418388192013253501500003039836883544921875	0.1942513991197963585388919227625592611730098724365234375	0.00951555980272458280799785512726884917356073856353759765625	0.31359055972090121855444522225297987461090087890625	-1.7830920146430873	9.076431963459891	BARD1;NEDD4;WWP1;DTL
regulation of protein catabolic process (GO:0042176)	5/92	0.004366178027960272191310142630982227274216711521148681640625	0.1883081734722411304527867059732670895755290985107421875	0.007101307127914623616715683596112285158596932888031005859375	0.312477652737987721121015738390269689261913299560546875	-1.6510365306088746	8.971513325127198	BARD1;NEDD4;WWP1;DTL;EGFR
actin polymerization or depolymerization (GO:0008154)	3/37	0.0089539846760000978143079208848575945012271404266357421875	0.2140191107336584241949140050564892590045928955078125	0.0131942732624242449468443538762585376389324665069580078125	0.323747336817359288030360175980604253709316253662109375	-1.8921722082609602	8.922834420082557	PREX1;COBLL1;COBL
cardiac muscle cell contraction (GO:0086003)	2/18	0.01814036267896342036198831237925332970917224884033203125	0.28927051454734142854618994533666409552097320556640625	0.02503989016099521236480285324432770721614360809326171875	0.40363214248647716342333069405867718160152435302734375	-2.184012400392681	8.757050717920464	CACNA1D;CACNA1G
negative regulation of cytoplasmic translation (GO:2000766)	1/7	0.0784396009109704916983929479101789183914661407470703125	0.3676352883258704462576815785723738372325897216796875	0.0949144521828639009530803605230175890028476715087890625	0.431111529322206032954767351839109323918819427490234375	-3.4090467717162594	8.677477533923318	CPEB4
glycosphingolipid biosynthetic process (GO:0006688)	2/18	0.01814036267896342036198831237925332970917224884033203125	0.28927051454734142854618994533666409552097320556640625	0.02503989016099521236480285324432770721614360809326171875	0.40363214248647716342333069405867718160152435302734375	-2.1637794863159794	8.675924505125543	ST8SIA1;ST8SIA6
regulation of early endosome to late endosome transport (GO:2000641)	2/18	0.01814036267896342036198831237925332970917224884033203125	0.28927051454734142854618994533666409552097320556640625	0.02503989016099521236480285324432770721614360809326171875	0.40363214248647716342333069405867718160152435302734375	-2.1582676214635255	8.65382404449877	DAB2;DNAJC13
proteoglycan metabolic process (GO:0006029)	2/21	0.0243392215913855076980798486374624189920723438262939453125	0.32509278501483629408852493725134991109371185302734375	0.0325475353239694786822155947447754442691802978515625	0.431111529322206032954767351839109323918819427490234375	-2.29869638808081	8.541188410194836	CSGALNACT1;ADAMTS12
aortic valve development (GO:0003176)	1/7	0.0784396009109704916983929479101789183914661407470703125	0.3676352883258704462576815785723738372325897216796875	0.0949144521828639009530803605230175890028476715087890625	0.431111529322206032954767351839109323918819427490234375	-3.3363239682783625	8.492366992679973	NOTCH1
positive regulation of transcription, DNA-templated (GO:0045893)	23/1121	0.0058007953512631514614295014098388492129743099212646484375	0.1942513991197963585388919227625592611730098724365234375	0.014319419317621574772037007505787187255918979644775390625	0.323747336817359288030360175980604253709316253662109375	-1.6462978835089122	8.478039385835519	ZFHX3;NOTCH1;CHUK;PLAG1;TCF12;MLLT3;MEIS2;ETS1;MTOR;FLI1;EGFR;GLI3;PAX2;ASXL1;ZEB2;DAB2;TRIM28;NFIC;ASXL3;TET3;E2F3;MAML3;FGFR2
regulation of wound healing, spreading of epidermal cells (GO:1903689)	1/7	0.0784396009109704916983929479101789183914661407470703125	0.3676352883258704462576815785723738372325897216796875	0.0949144521828639009530803605230175890028476715087890625	0.431111529322206032954767351839109323918819427490234375	-3.3300833335437416	8.476481916489062	MTOR
negative regulation of cell differentiation (GO:0045596)	6/151	0.00844436146004607680881637321590460487641394138336181640625	0.2140191107336584241949140050564892590045928955078125	0.01349089107808761588136459153020041412673890590667724609375	0.323747336817359288030360175980604253709316253662109375	-1.7710419888363182	8.455408449240124	ASXL1;NOTCH1;COL5A2;ADAMTS12;MEIS2;EGFR
regulation of interleukin-5 secretion (GO:2000662)	1/7	0.0784396009109704916983929479101789183914661407470703125	0.3676352883258704462576815785723738372325897216796875	0.0949144521828639009530803605230175890028476715087890625	0.431111529322206032954767351839109323918819427490234375	-3.311420481061945	8.4289769997266	TNFRSF21
negative regulation of signal transduction (GO:0009968)	10/284	0.0018421765131573057672209614565872470848262310028076171875	0.1883081734722411304527867059732670895755290985107421875	0.0036760095423422653286571470943044914747588336467742919921875	0.312477652737987721121015738390269689261913299560546875	-1.3019309411185112	8.198008539040337	ASXL1;LRPAP1;NEDD4;ROR2;PEAR1;ADAMTS12;FGFR2;EGFR;GLI3;TRABD2B
positive regulation of phosphorylation (GO:0042327)	7/209	0.01122606971587129971734686506579237175174057483673095703125	0.228058375186810102785983644935186021029949188232421875	0.018126016795522399693840753798212972469627857208251953125	0.36325517442918542343477383838035166263580322265625	-1.825452080869253	8.19539733243205	DAB2;PELI2;RSPO1;ROR2;MTOR;FGFR2;EGFR
regulation of multicellular organism growth (GO:0040014)	2/18	0.01814036267896342036198831237925332970917224884033203125	0.28927051454734142854618994533666409552097320556640625	0.02503989016099521236480285324432770721614360809326171875	0.40363214248647716342333069405867718160152435302734375	-2.0426714795113696	8.190327922549574	GHR;FGFR2
positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	18/849	0.01031389966723704997020316653788540861569344997406005859375	0.2225556400708502968743829342201934196054935455322265625	0.0219069360155514959720424172928687767125666141510009765625	0.40108624709550178000228015662287361919879913330078125	-1.7875108358197866	8.176544340949215	NOTCH1;CHUK;PLAG1;WWC1;TCF12;MEIS2;ETS1;EGFR;GLI3;PAX2;ASXL1;ZEB2;NFIC;ASXL3;TET3;E2F3;MAML3;FGFR2
response to cadmium ion (GO:0046686)	3/32	0.005963258446871364491792544271220322116278111934661865234375	0.1942513991197963585388919227625592611730098724365234375	0.00914266244079689656409914988444143091328442096710205078125	0.3127660626666133314444095958606339991092681884765625	-1.5893886621638487	8.14106842566324	CHUK;SLC34A1;EGFR
regulation of interleukin-10 secretion (GO:2001179)	1/7	0.0784396009109704916983929479101789183914661407470703125	0.3676352883258704462576815785723738372325897216796875	0.0949144521828639009530803605230175890028476715087890625	0.431111529322206032954767351839109323918819427490234375	-3.165053202278095	8.056409869264813	TNFRSF21
vitamin D metabolic process (GO:0042359)	2/16	0.014445409914038455367890634306604624725878238677978515625	0.264475838302704102655837914426228962838649749755859375	0.0204915970951498778440669212841385160572826862335205078125	0.394662837559834667189306856016628444194793701171875	-1.8963869812040575	8.035709550586931	CUBN;LRP2
succinyl-CoA metabolic process (GO:0006104)	1/7	0.0784396009109704916983929479101789183914661407470703125	0.3676352883258704462576815785723738372325897216796875	0.0949144521828639009530803605230175890028476715087890625	0.431111529322206032954767351839109323918819427490234375	-3.156484609380588	8.034599146988327	OGDH
negative regulation of cellular response to growth factor stimulus (GO:0090288)	4/56	0.004042259340331558377379383983907246147282421588897705078125	0.1883081734722411304527867059732670895755290985107421875	0.006470976818718735847080214540483211749233305454254150390625	0.312477652737987721121015738390269689261913299560546875	-1.453093735390854	8.007929101667346	NOTCH1;NEDD4;LRP2;ADAMTS12
epithelial cell-cell adhesion (GO:0090136)	2/12	0.00819066058760960051532418191300166654400527477264404296875	0.2140191107336584241949140050564892590045928955078125	0.0125886749510788660544324812917693634517490863800048828125	0.323747336817359288030360175980604253709316253662109375	-1.6620064383625877	7.985543262304569	SERPINB8;PLEKHA7
regulation of chemokine-mediated signaling pathway (GO:0070099)	1/7	0.0784396009109704916983929479101789183914661407470703125	0.3676352883258704462576815785723738372325897216796875	0.0949144521828639009530803605230175890028476715087890625	0.431111529322206032954767351839109323918819427490234375	-3.1271182489463514	7.9598492388804685	ROBO1
regulation of myelination (GO:0031641)	2/18	0.01814036267896342036198831237925332970917224884033203125	0.28927051454734142854618994533666409552097320556640625	0.02503989016099521236480285324432770721614360809326171875	0.40363214248647716342333069405867718160152435302734375	-1.981873313637158	7.946550633546414	TENM4;TNFRSF21
protein polymerization (GO:0051258)	3/46	0.016213342594718301026279760890247416682541370391845703125	0.283472619828727789847988560723024420440196990966796875	0.0226989136642428250556502433710193145088851451873779296875	0.40108624709550178000228015662287361919879913330078125	-1.9276760367131465	7.945727871915655	PREX1;COBLL1;COBL
regulation of smooth muscle cell differentiation (GO:0051150)	1/8	0.08913344439108379646530266882109572179615497589111328125	0.3676352883258704462576815785723738372325897216796875	0.10613042398691023560086676980063202790915966033935546875	0.431111529322206032954767351839109323918819427490234375	-3.28178428414271	7.934109477193908	FGFR2
negative regulation of glial cell proliferation (GO:0060253)	1/7	0.0784396009109704916983929479101789183914661407470703125	0.3676352883258704462576815785723738372325897216796875	0.0949144521828639009530803605230175890028476715087890625	0.431111529322206032954767351839109323918819427490234375	-3.097929598486243	7.885551678426167	NOTCH1
negative regulation of neural precursor cell proliferation (GO:2000178)	1/7	0.0784396009109704916983929479101789183914661407470703125	0.3676352883258704462576815785723738372325897216796875	0.0949144521828639009530803605230175890028476715087890625	0.431111529322206032954767351839109323918819427490234375	-3.0974470871332023	7.884323481306488	KDM2B
gland morphogenesis (GO:0022612)	1/7	0.0784396009109704916983929479101789183914661407470703125	0.3676352883258704462576815785723738372325897216796875	0.0949144521828639009530803605230175890028476715087890625	0.431111529322206032954767351839109323918819427490234375	-3.097080175720838	7.883389535323656	FGFR2
embryonic digestive tract development (GO:0048566)	2/21	0.0243392215913855076980798486374624189920723438262939453125	0.32509278501483629408852493725134991109371185302734375	0.0325475353239694786822155947447754442691802978515625	0.431111529322206032954767351839109323918819427490234375	-2.1033136881574563	7.815211521384735	FGFR2;GLI3
quaternary ammonium group transport (GO:0015697)	1/7	0.0784396009109704916983929479101789183914661407470703125	0.3676352883258704462576815785723738372325897216796875	0.0949144521828639009530803605230175890028476715087890625	0.431111529322206032954767351839109323918819427490234375	-3.0695172256436924	7.813230075486539	SLC22A5
cation transport (GO:0006812)	5/80	0.00238667896851826009940733541725421673618257045745849609375	0.1883081734722411304527867059732670895755290985107421875	0.004068571702846949904308626599913623067550361156463623046875	0.312477652737987721121015738390269689261913299560546875	-1.2908475535764858	7.793947041069487	SLC22A13;SLC22A5;PIEZO2;LRP2;ASIC2
carnitine transport (GO:0015879)	1/8	0.08913344439108379646530266882109572179615497589111328125	0.3676352883258704462576815785723738372325897216796875	0.10613042398691023560086676980063202790915966033935546875	0.431111529322206032954767351839109323918819427490234375	-3.2191560749960093	7.782698225049308	SLC22A5
nervous system development (GO:0007399)	13/456	0.0026856854398424616532647934974420422804541885852813720703125	0.1883081734722411304527867059732670895755290985107421875	0.00565979250305474919369164155114049208350479602813720703125	0.312477652737987721121015738390269689261913299560546875	-1.3120135950565905	7.766883400229734	CSGALNACT1;NUMBL;FUT10;WWP1;NAV1;ROBO1;ZEB2;NAV3;ADGRA2;APBA1;ASIC2;FGFR2;ADGRL3
TOR signaling (GO:0031929)	2/24	0.03127218599740895499383697142548044212162494659423828125	0.3540202430088357221649175698985345661640167236328125	0.04081618380363556675138880791564588434994220733642578125	0.431111529322206032954767351839109323918819427490234375	-2.240283532543108	7.762641141916811	PRR5L;MTOR
amino-acid betaine transport (GO:0015838)	1/8	0.08913344439108379646530266882109572179615497589111328125	0.3676352883258704462576815785723738372325897216796875	0.10613042398691023560086676980063202790915966033935546875	0.431111529322206032954767351839109323918819427490234375	-3.192563050565733	7.718406379854303	SLC22A5
cellular divalent inorganic anion homeostasis (GO:0072501)	1/8	0.08913344439108379646530266882109572179615497589111328125	0.3676352883258704462576815785723738372325897216796875	0.10613042398691023560086676980063202790915966033935546875	0.431111529322206032954767351839109323918819427490234375	-3.189589552176001	7.711217588723701	SLC34A1
protein polyubiquitination (GO:0000209)	9/284	0.00608942428303273219913904767963686026632785797119140625	0.1942513991197963585388919227625592611730098724365234375	0.01086736946897707938031185648242171737365424633026123046875	0.323747336817359288030360175980604253709316253662109375	-1.5049730393126883	7.67717108157997	BARD1;NEDD4;PELI2;TTC3;WWP1;LMO7;DTL;RNF122;FBXL7
cardiac atrium development (GO:0003230)	1/8	0.08913344439108379646530266882109572179615497589111328125	0.3676352883258704462576815785723738372325897216796875	0.10613042398691023560086676980063202790915966033935546875	0.431111529322206032954767351839109323918819427490234375	-3.166984982884217	7.6565683150610715	NOTCH1
