"Term"	"interest_hit"	"background_hit"	"original_score"	"corrected_score"	"Genes"	"GO_process"
"7S RNA binding (GO:0008312)"	"7S RNA binding (GO:0008312)"	101	625	0.325955410220562	0.617805809849087	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"BRE binding (GO:0042835)"	"BRE binding (GO:0042835)"	101	626	0.332508133495853	0.617805809849087	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"misfolded RNA binding (GO:0034336)"	"misfolded RNA binding (GO:0034336)"	101	625	0.325955410220562	0.617805809849087	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"N6-methyladenosine-containing RNA binding (GO:1990247)"	"N6-methyladenosine-containing RNA binding (GO:1990247)"	101	625	0.325955410220562	0.617805809849087	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"histone pre-mRNA DCP binding (GO:0071208)"	"histone pre-mRNA DCP binding (GO:0071208)"	101	625	0.325955410220562	0.617805809849087	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"regulatory region RNA binding (GO:0001069)"	"regulatory region RNA binding (GO:0001069)"	101	625	0.325955410220562	0.617805809849087	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"G-quadruplex RNA binding (GO:0002151)"	"G-quadruplex RNA binding (GO:0002151)"	101	625	0.325955410220562	0.617805809849087	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"pre-mRNA binding (GO:0036002)"	"pre-mRNA binding (GO:0036002)"	101	625	0.325955410220562	0.617805809849087	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"ribonuclease P RNA binding (GO:0033204)"	"ribonuclease P RNA binding (GO:0033204)"	101	625	0.325955410220562	0.617805809849087	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"RNA stem-loop binding (GO:0035613)"	"RNA stem-loop binding (GO:0035613)"	101	626	0.332508133495853	0.617805809849087	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"tRNA binding (GO:0000049)"	"tRNA binding (GO:0000049)"	102	637	0.363797262687979	0.655094003274439	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;AARS2;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
