"Term"	"interest_hit"	"background_hit"	"original_score"	"corrected_score"	"Genes"	"GO_process"
"protein kinase C binding (GO:0005080)"	"protein kinase C binding (GO:0005080)"	31	163	0.105212876988608	0.48106369659249	"TOP2B;AP2A1;KIF11;PTPN23;FOXM1;AURKA;CASP9;CDC42;CCND3;RACGAP1;CEP250;FBXO5;FAM83D;CDK5RAP2;CDKN2D;DSP;DAXX;BORA;PIH1D1;NEK6;CEP152;CDC25C;SNAP91;TPCN2;CCNA2;TPX2;PTPRC;CENPJ;SQSTM1;SKAP1;LLGL1"	"MF"
"JUN kinase binding (GO:0008432)"	"JUN kinase binding (GO:0008432)"	29	150	0.0947913466034657	0.437365544510823	"AP2A1;KIF11;PTPN23;FOXM1;AURKA;CASP9;CDC42;CCND3;RACGAP1;CEP250;FBXO5;FAM83D;CDK5RAP2;CDKN2D;DAXX;BORA;PIH1D1;NEK6;CEP152;CDC25C;SNAP91;TPCN2;CCNA2;TPX2;PTPRC;CENPJ;SQSTM1;SKAP1;LLGL1"	"MF"
"protein tyrosine kinase binding (GO:1990782)"	"protein tyrosine kinase binding (GO:1990782)"	29	150	0.0947913466034657	0.437365544510823	"AP2A1;KIF11;PTPN23;FOXM1;AURKA;CASP9;CDC42;CCND3;RACGAP1;CEP250;FBXO5;FAM83D;CDK5RAP2;CDKN2D;DAXX;BORA;PIH1D1;NEK6;CEP152;CDC25C;SNAP91;TPCN2;CCNA2;TPX2;PTPRC;CENPJ;SQSTM1;SKAP1;LLGL1"	"MF"
"thyroid hormone receptor coactivator activity (GO:0030375)"	"thyroid hormone receptor coactivator activity (GO:0030375)"	9	33	0.0264442372255933	0.384639731824828	"ENY2;MED14;MED24;USP22;BUD31;SOX9;PPRC1;WDR77;MED17"	"MF"
"mitogen-activated protein kinase kinase kinase binding (GO:0031435)"	"mitogen-activated protein kinase kinase kinase binding (GO:0031435)"	29	151	0.101287136012245	0.464513209868847	"AP2A1;KIF11;PTPN23;FOXM1;AURKA;CASP9;CDC42;CCND3;RACGAP1;CEP250;FBXO5;FAM83D;CDK5RAP2;CDKN2D;DAXX;BORA;PIH1D1;NEK6;CEP152;CDC25C;SNAP91;TPCN2;CCNA2;TPX2;PTPRC;CENPJ;SQSTM1;SKAP1;LLGL1"	"MF"
"MAP kinase tyrosine phosphatase activity (GO:0033550)"	"MAP kinase tyrosine phosphatase activity (GO:0033550)"	10	35	0.0154379660594391	0.272498052072426	"PTPRC;DUSP10;EYA1;EYA4;PTPN22;PTPN23;DUSP18;CDC25C;PTPRF;CDC14A"	"MF"
"prenylated protein tyrosine phosphatase activity (GO:0004727)"	"prenylated protein tyrosine phosphatase activity (GO:0004727)"	10	36	0.0191526025946855	0.320035637657544	"PTP4A3;PTPRC;EYA1;EYA4;PTPN22;PTPN23;DUSP18;CDC25C;PTPRF;CDC14A"	"MF"
"protein-DNA unloading ATPase activity (GO:0140083)"	"protein-DNA unloading ATPase activity (GO:0140083)"	16	64	0.0180195140728798	0.310836617757177	"BLM;HSPA5;SMARCA5;RHOBTB3;KIF23;TOR1B;ATP5O;MLH1;MLH3;MSH6;CENPE;KIFC1;KIF2C;KIF21B;KIF20B;MYH7"	"MF"
"ATPase activity, uncoupled (GO:0042624)"	"ATPase activity, uncoupled (GO:0042624)"	16	64	0.0180195140728798	0.310836617757177	"BLM;HSPA5;SMARCA5;RHOBTB3;KIF23;TOR1B;ATP5O;MLH1;MLH3;MSH6;CENPE;KIFC1;KIF2C;KIF21B;KIF20B;MYH7"	"MF"
"DNA helicase activity (GO:0003678)"	"DNA helicase activity (GO:0003678)"	7	21	0.0110771936167984	0.236833519863379	"EIF4A1;DDX19B;BLM;RECQL5;IGHMBP2;CHD3;RAD54B"	"MF"
"ATP-dependent microtubule motor activity, minus-end-directed (GO:0008569)"	"ATP-dependent microtubule motor activity, minus-end-directed (GO:0008569)"	16	66	0.0241911364226512	0.374715766220251	"BLM;HSPA5;SMARCA5;RHOBTB3;KIF23;TOR1B;ATP5O;MLH1;MLH3;MSH6;CENPE;KIFC1;KIF2C;KIF21B;KIF20B;MYH7"	"MF"
"transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)"	"transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)"	10	37	0.0234891732804873	0.374032173412405	"PTPRE;PTPRC;EYA1;EYA4;PTPN22;PTPN23;DUSP18;CDC25C;PTPRF;CDC14A"	"MF"
"GTPase activator activity (GO:0005096)"	"GTPase activator activity (GO:0005096)"	23	125	0.17213915895819	0.497205280703128	"ARHGAP11A;RABGAP1;ARHGAP18;TBC1D9;ARHGAP39;ARHGAP27;AXIN2;KALRN;INPP5B;SYDE1;DEPDC1B;RGS2;RACGAP1;RASA2;TBC1D10C;TBC1D17;ECT2;SRGAP1;EVI5;RALGDS;LLGL1;SIPA1;TBC1D10B"	"MF"
"protein serine/threonine/tyrosine kinase activity (GO:0004712)"	"protein serine/threonine/tyrosine kinase activity (GO:0004712)"	19	105	0.209385109578034	0.545258029920081	"CDKL3;MMD;SRC;TNK2;MINK1;BRAF;STK4;AURKB;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"intracellular ATPase-gated chloride channel activity (GO:0005260)"	"intracellular ATPase-gated chloride channel activity (GO:0005260)"	18	70	0.0101366146897052	0.235513403507716	"BLM;HSPA5;SMARCA5;RHOBTB3;KIF23;TOR1B;ATP5O;MLH1;MLH3;MSH6;CENPE;CLCN5;KIFC1;KIF2C;KIF21B;KIF20B;CLIC1;MYH7"	"MF"
"ATPase activity, coupled (GO:0042623)"	"ATPase activity, coupled (GO:0042623)"	16	66	0.0241911364226512	0.374715766220251	"BLM;HSPA5;SMARCA5;RHOBTB3;KIF23;TOR1B;ATP5O;MLH1;MLH3;MSH6;CENPE;KIFC1;KIF2C;KIF21B;KIF20B;MYH7"	"MF"
"microtubule binding (GO:0008017)"	"microtubule binding (GO:0008017)"	17	78	0.0568772812912149	0.435510093283935	"GAS2L3;RABGAP1;NUMA1;SPAG5;STMN2;CRIPT;KATNB1;KIF23;PHF6;PEX14;KIF18A;RACGAP1;CEP57L1;CENPJ;KIF20B;FAM83D;CDK5RAP2"	"MF"
"cyclin-dependent protein kinase activity (GO:0097472)"	"cyclin-dependent protein kinase activity (GO:0097472)"	18	102	0.247793822148923	0.545258029920081	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CCNA2;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"protein tyrosine phosphatase activity, metal-dependent (GO:0030946)"	"protein tyrosine phosphatase activity, metal-dependent (GO:0030946)"	9	34	0.032341372895119	0.385310595334201	"PTPRC;EYA1;EYA4;PTPN22;PTPN23;DUSP18;CDC25C;PTPRF;CDC14A"	"MF"
"protein tyrosine phosphatase activity, via thiol-phosphate intermediate (GO:0030945)"	"protein tyrosine phosphatase activity, via thiol-phosphate intermediate (GO:0030945)"	9	34	0.032341372895119	0.385310595334201	"PTPRC;EYA1;EYA4;PTPN22;PTPN23;DUSP18;CDC25C;PTPRF;CDC14A"	"MF"
"protein kinase activity (GO:0004672)"	"protein kinase activity (GO:0004672)"	20	127	0.441574129113371	0.609364428874662	"CDKL3;MMD;SRC;MINK1;BRAF;MASTL;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;WEE1;RASSF2;PDK3;PIK3C3;SOX9;IKBKE;MAP4K3;MAP2K5"	"MF"
"non-membrane spanning protein tyrosine phosphatase activity (GO:0004726)"	"non-membrane spanning protein tyrosine phosphatase activity (GO:0004726)"	9	34	0.032341372895119	0.385310595334201	"PTPRC;EYA1;EYA4;PTPN22;PTPN23;DUSP18;CDC25C;PTPRF;CDC14A"	"MF"
"RNA helicase activity (GO:0003724)"	"RNA helicase activity (GO:0003724)"	6	17	0.0107607705744128	0.235513403507716	"EIF4A1;DDX19B;BLM;DHX9;CHD3;RAD54B"	"MF"
"platelet-derived growth factor receptor binding (GO:0005161)"	"platelet-derived growth factor receptor binding (GO:0005161)"	5	14	0.0145256459028941	0.262499172388014	"SRC;ITGB3;PDGFC;PDGFA;VEGFA"	"MF"
"alpha-tubulin binding (GO:0043014)"	"alpha-tubulin binding (GO:0043014)"	9	26	0.00428757746446484	0.200420742935878	"OFD1;ARL4C;RABGAP1;RACGAP1;NUMA1;CENPJ;STMN2;PHF6;CDK5RAP2"	"MF"
"protein tyrosine phosphatase activity (GO:0004725)"	"protein tyrosine phosphatase activity (GO:0004725)"	10	47	0.110218808572064	0.490006655897477	"PTPRC;DUSP10;EYA1;EYA4;PTPN22;PTPN23;DUSP18;CDC25C;PTPRF;CDC14A"	"MF"
"[acetyl-CoA carboxylase] kinase activity (GO:0050405)"	"[acetyl-CoA carboxylase] kinase activity (GO:0050405)"	17	101	0.322542940375667	0.566034894208395	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity (GO:0047322)"	"[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity (GO:0047322)"	17	101	0.322542940375667	0.566034894208395	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"[isocitrate dehydrogenase (NADP+)] kinase activity (GO:0008772)"	"[isocitrate dehydrogenase (NADP+)] kinase activity (GO:0008772)"	17	101	0.322542940375667	0.566034894208395	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"[tyrosine 3-monooxygenase] kinase activity (GO:0050369)"	"[tyrosine 3-monooxygenase] kinase activity (GO:0050369)"	17	101	0.322542940375667	0.566034894208395	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"calcium-dependent protein kinase activity (GO:0010857)"	"calcium-dependent protein kinase activity (GO:0010857)"	17	101	0.322542940375667	0.566034894208395	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"caldesmon kinase activity (GO:0047764)"	"caldesmon kinase activity (GO:0047764)"	17	101	0.322542940375667	0.566034894208395	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"dephospho-[reductase kinase] kinase activity (GO:0047848)"	"dephospho-[reductase kinase] kinase activity (GO:0047848)"	17	101	0.322542940375667	0.566034894208395	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"low-density-lipoprotein particle receptor kinase activity (GO:0050063)"	"low-density-lipoprotein particle receptor kinase activity (GO:0050063)"	17	101	0.322542940375667	0.566034894208395	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"protein arginine kinase activity (GO:1990424)"	"protein arginine kinase activity (GO:1990424)"	17	101	0.322542940375667	0.566034894208395	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"protein histidine kinase activity (GO:0004673)"	"protein histidine kinase activity (GO:0004673)"	17	101	0.322542940375667	0.566034894208395	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"protein kinase activity involved in regulation of protein localization to cell division site involved in cytokinesis (GO:1901916)"	"protein kinase activity involved in regulation of protein localization to cell division site involved in cytokinesis (GO:1901916)"	17	101	0.322542940375667	0.566034894208395	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"pyruvate dehydrogenase (acetyl-transferring) kinase activity (GO:0004740)"	"pyruvate dehydrogenase (acetyl-transferring) kinase activity (GO:0004740)"	17	101	0.322542940375667	0.566034894208395	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity (GO:0047323)"	"[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity (GO:0047323)"	17	102	0.338560608567112	0.583183153125497	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"transmembrane receptor protein kinase activity (GO:0019199)"	"transmembrane receptor protein kinase activity (GO:0019199)"	17	101	0.322542940375667	0.566034894208395	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"tropomyosin kinase activity (GO:0050359)"	"tropomyosin kinase activity (GO:0050359)"	17	101	0.322542940375667	0.566034894208395	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"beta-adrenergic receptor kinase activity (GO:0047696)"	"beta-adrenergic receptor kinase activity (GO:0047696)"	17	103	0.354758221743443	0.60170165430899	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"histone kinase activity (GO:0035173)"	"histone kinase activity (GO:0035173)"	17	102	0.338560608567112	0.583183153125497	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"rhodopsin kinase activity (GO:0050254)"	"rhodopsin kinase activity (GO:0050254)"	17	101	0.322542940375667	0.566034894208395	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"intermediate voltage-gated calcium channel activity (GO:1990028)"	"intermediate voltage-gated calcium channel activity (GO:1990028)"	6	12	0.000903131394713652	0.200420742935878	"IL1RAPL1;NCS1;CACNA1D;OPRM1;CACNA1E;TPCN2"	"MF"
"voltage-gated calcium channel activity involved in cardiac muscle cell action potential (GO:0086007)"	"voltage-gated calcium channel activity involved in cardiac muscle cell action potential (GO:0086007)"	6	12	0.000903131394713652	0.200420742935878	"IL1RAPL1;NCS1;CACNA1D;OPRM1;CACNA1E;TPCN2"	"MF"
"voltage-gated calcium channel activity involved in regulation of cytosolic calcium levels (GO:0099511)"	"voltage-gated calcium channel activity involved in regulation of cytosolic calcium levels (GO:0099511)"	6	12	0.000903131394713652	0.200420742935878	"IL1RAPL1;NCS1;CACNA1D;OPRM1;CACNA1E;TPCN2"	"MF"
"high voltage-gated calcium channel activity (GO:0008331)"	"high voltage-gated calcium channel activity (GO:0008331)"	6	12	0.000903131394713652	0.200420742935878	"IL1RAPL1;NCS1;CACNA1D;OPRM1;CACNA1E;TPCN2"	"MF"
"beta-galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide beta-1,3-acetylglucosaminyltransferase activity (GO:0008457)"	"beta-galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide beta-1,3-acetylglucosaminyltransferase activity (GO:0008457)"	4	10	0.0121316750631344	0.239167308387507	"B3GALNT2;B3GNT5;MGAT1;POMGNT2"	"MF"
"cyclin-dependent protein kinase activating kinase activity (GO:0019912)"	"cyclin-dependent protein kinase activating kinase activity (GO:0019912)"	18	111	0.385102632632252	0.609364428874662	"CDKL3;DAXX;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity (GO:0003830)"	"beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity (GO:0003830)"	4	10	0.0121316750631344	0.239167308387507	"B3GALNT2;MGAT3;MGAT1;POMGNT2"	"MF"
"microtubule plus-end binding (GO:0051010)"	"microtubule plus-end binding (GO:0051010)"	14	73	0.165600537094763	0.497205280703128	"GAS2L3;NUMA1;SPAG5;CRIPT;KATNB1;KIF23;PEX14;KIF18A;RACGAP1;CEP57L1;KIF2C;KIF20B;FAM83D;CDK5RAP2"	"MF"
"gamma-tubulin binding (GO:0043015)"	"gamma-tubulin binding (GO:0043015)"	8	28	0.0236542085952509	0.374032173412405	"OFD1;RABGAP1;RACGAP1;NUMA1;CENPJ;STMN2;PHF6;CDK5RAP2"	"MF"
"low voltage-gated calcium channel activity (GO:0008332)"	"low voltage-gated calcium channel activity (GO:0008332)"	6	14	0.00292655165546207	0.200420742935878	"IL1RAPL1;NCS1;CACNA1D;OPRM1;CACNA1E;TPCN2"	"MF"
"tau-protein kinase activity (GO:0050321)"	"tau-protein kinase activity (GO:0050321)"	17	105	0.387572571564962	0.609364428874662	"CDKL3;MMD;SRC;MINK1;BRAF;STK4;TGFBR1;PIK3CG;AURKA;STK3;CDK9;RASSF2;PDK3;SOX9;IKBKE;MAP2K5;MAP4K3"	"MF"
"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity (GO:0008109)"	"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity (GO:0008109)"	4	10	0.0121316750631344	0.239167308387507	"B3GALNT2;GCNT2;MGAT1;POMGNT2"	"MF"
"helicase activity (GO:0004386)"	"helicase activity (GO:0004386)"	5	14	0.0145256459028941	0.262499172388014	"EIF4A1;BLM;DDX19B;ENTPD7;CHD3"	"MF"
"ATP-dependent DNA helicase activity (GO:0004003)"	"ATP-dependent DNA helicase activity (GO:0004003)"	8	37	0.116539119770209	0.490006655897477	"RAD51B;BLM;RECQL5;DHX9;IGHMBP2;CHD3;TTF2;RAD54B"	"MF"
"Rab GTPase binding (GO:0017137)"	"Rab GTPase binding (GO:0017137)"	13	68	0.174160024744388	0.497205280703128	"ANKRD27;RABGAP1;RHOBTB3;TBC1D9;BICD1;TBC1D10C;CHML;TBC1D17;RAB11FIP3;EVI5;LLGL1;RAB8A;TBC1D10B"	"MF"
"microtubule lateral binding (GO:0099609)"	"microtubule lateral binding (GO:0099609)"	13	68	0.174160024744388	0.497205280703128	"GAS2L3;NUMA1;SPAG5;CRIPT;KATNB1;KIF23;PEX14;KIF18A;RACGAP1;CEP57L1;KIF20B;FAM83D;CDK5RAP2"	"MF"
"ATP binding (GO:0005524)"	"ATP binding (GO:0005524)"	21	122	0.277921443834997	0.545258029920081	"PRPS2;BLM;NEK6;MINK1;SMARCA5;IGHMBP2;RHOBTB3;DARS2;STK4;SMC4;TGFBR1;UHMK1;STK3;MSH6;TPX2;KIFC1;PDK3;TRIP13;PI4K2A;MAP4K3;ABCG1"	"MF"
"NAADP-sensitive calcium-release channel activity (GO:0072345)"	"NAADP-sensitive calcium-release channel activity (GO:0072345)"	4	7	0.00153070806038702	0.200420742935878	"JPH2;ITPR1;RYR3;TPCN2"	"MF"
"ubiquitin-calmodulin ligase activity (GO:0050372)"	"ubiquitin-calmodulin ligase activity (GO:0050372)"	26	197	0.81479439281062	0.877826748251612	"KLHL15;MALT1;UBE2L3;TRIM9;HECTD2;RNF152;RNF130;BARD1;RNF20;WSB1;KLHL22;FBXL18;KLHL4;FBXO10;CHFR;PJA2;KLHL20;FBXL12;UBE2W;GAN;KCTD10;UBE2T;DTL;CBLL1;DZIP3;BIRC2"	"MF"
"ubiquitin-protein transferase activity (GO:0004842)"	"ubiquitin-protein transferase activity (GO:0004842)"	26	197	0.81479439281062	0.877826748251612	"KLHL15;MALT1;UBE2L3;TRIM9;HECTD2;RNF152;RNF130;BARD1;RNF20;WSB1;KLHL22;FBXL18;KLHL4;FBXO10;CHFR;PJA2;KLHL20;FBXL12;UBE2W;GAN;KCTD10;UBE2T;DTL;CBLL1;DZIP3;BIRC2"	"MF"
"beta-tubulin binding (GO:0048487)"	"beta-tubulin binding (GO:0048487)"	8	28	0.0236542085952509	0.374032173412405	"RABGAP1;RACGAP1;NUMA1;CENPJ;STMN2;PHF6;PEX14;CDK5RAP2"	"MF"
"insulin-like growth factor receptor binding (GO:0005159)"	"insulin-like growth factor receptor binding (GO:0005159)"	4	10	0.0121316750631344	0.239167308387507	"SOCS2;SHC1;IGF2;GNAS"	"MF"
"RNA polymerase II transcription coactivator activity (GO:0001105)"	"RNA polymerase II transcription coactivator activity (GO:0001105)"	22	155	0.658268364394001	0.746824646599471	"RNF20;DAXX;ENY2;FUS;TGFB1I1;USP22;TAF11;NR1H4;SOX11;GATA3;PPRC1;MED12L;UBE2L3;MED17;NPAT;MED14;MED24;RARA;NFE2L3;SOX9;SOX4;BIRC2"	"MF"
"protein tyrosine kinase activity (GO:0004713)"	"protein tyrosine kinase activity (GO:0004713)"	22	142	0.478076179991069	0.609364428874662	"CDKL3;MMD;SRC;TNK2;MINK1;BRAF;STK4;TGFBR1;PIK3CG;CAMKK2;AURKA;STK3;CDK9;WEE1;RASSF2;ERBB2;PDK3;SOX9;EPHB2;IKBKE;MAP4K3;MAP2K5"	"MF"
"microtubule minus-end binding (GO:0051011)"	"microtubule minus-end binding (GO:0051011)"	13	70	0.204016606078413	0.545241563427871	"GAS2L3;NUMA1;SPAG5;CRIPT;KATNB1;KIF23;PEX14;KIF18A;RACGAP1;CEP57L1;KIF20B;FAM83D;CDK5RAP2"	"MF"
"forked DNA-dependent helicase activity (GO:0061749)"	"forked DNA-dependent helicase activity (GO:0061749)"	4	14	0.0559917591185461	0.435510093283935	"BLM;RECQL5;IGHMBP2;RAD54B"	"MF"
